date,maxTemp,minTemp,relHum,rainFall
2020-07-11,32.4,25.0,92,13.0
2020-07-12,29.6,24.5,93,22.4
2020-07-13,30.5,25.3,92,6.8
2020-07-14,28.0,25.0,93,121.6
2020-07-15,26.2,25.0,93,156.4
2020-07-16,28.4,25.5,90,24.2
2020-07-17,27.8,25.3,90,30.6
2020-07-18,30.2,23.4,92,9.4
2020-07-19,32.0,25.5,89,0.8
2020-07-20,31.8,27.0,90,0.6
2020-07-21,31.5,27.0,89,0.0
2020-07-22,32.2,27.2,92,0.1
2020-07-23,31.8,25.5,93,39.8
2020-07-24,28.2,26.0,82,23.8
2020-07-25,30.8,25.5,87,2.2
2020-07-26,31.0,25.5,92,60.4
2020-07-27,28.0,25.5,92,57.2
2020-07-28,26.8,25.0,92,89.0
2020-07-29,30.0,25.0,92,23.0
2020-07-30,31.0,25.5,92,45.0
2020-07-31,31.0,26.0,89,3.0
2020-08-01,30.8,26.0,90,2.6
2020-08-02,32.0,26.0,93,7.4
2020-08-03,30.5,24.2,92,252.2
2020-08-04,27.4,24.5,92,53.2
2020-08-05,26.8,23.0,92,331.8
2020-08-06,27.6,25.0,90,25.2
2020-08-07,29.0,26.0,87,11.8
2020-08-08,30.4,26.5,90,6.2
2020-08-09,31.4,27.0,92,3.0
2020-08-10,30.0,26.5,87,7.8
2020-08-11,30.0,25.7,90,16.7
2020-08-12,29.0,25.5,90,17.8
2020-08-13,29.2,25.0,92,21.6
2020-08-14,27.2,26.0,92,14.6
2020-08-15,28.8,26.0,90,19.8
2020-08-16,28.8,26.0,90,6.8
2020-08-17,28.2,25.5,92,16.2
2020-08-18,29.0,25.0,92,13.0
2020-08-19,30.2,26.0,90,5.0
2020-08-20,28.4,24.5,92,63.2
2020-08-21,27.2,25.5,92,27.0
2020-08-22,29.7,26.4,89,3.0
2020-08-23,29.7,27.0,86,3.4
2020-08-24,30.4,26.5,86,1.8
2020-08-25,31.4,25.5,89,11.6
2020-08-26,31.4,26.5,85,2.2
2020-08-27,31.4,25.5,87,6.4
2020-08-28,28.0,24.0,93,108.0
2020-08-29,26.8,24.5,92,37.2
2020-08-30,27.8,25.0,90,28.8
2020-08-31,29.2,24.5,93,9.2
2020-09-01,30.0,25.5,92,2.6
2020-09-02,31.5,26.0,92,0.0
2020-09-03,32.0,26.0,95,0.1
2020-09-04,32.6,26.0,94,15.0
2020-09-05,33.2,28.6,92,0.0
2020-09-06,33.5,25.2,95,25.2
2020-09-07,30.8,27.0,89,0.0
2020-09-08,32.7,27.5,91,0.0
2020-09-09,33.4,27.0,92,4.0
2020-09-10,32.2,27.5,92,0.0
2020-09-11,33.8,26.0,84,8.6
2020-09-12,30.2,25.0,93,16.4
2020-09-13,32.2,25.5,95,6.0
2020-09-14,30.0,26.0,92,0.1
2020-09-15,31.2,25.2,93,3.6
2020-09-16,29.6,26.0,92,0.0
2020-09-17,28.4,25.5,96,13.2
2020-09-18,28.0,25.5,95,7.8
2020-09-19,30.2,25.5,93,2.8
2020-09-20,30.2,25.5,93,2.8
2020-09-21,31.8,26.0,92,3.4
2020-09-22,28.2,25.0,93,147.8
2020-09-23,26.2,23.7,93,50.4
2020-09-24,30.2,25.5,93,1.0
2020-09-25,30.2,26.0,85,2.4
2020-09-26,32.0,25.5,92,0.0
2020-09-27,32.4,26.0,89,0.0
2020-09-28,32.2,25.8,90,0.1
2020-09-29,32.2,26.0,90,0.0
2020-09-30,32.2,26.5,87,0.0
2020-10-01,32.4,26.5,89,0.0
2020-10-02,32.0,27.0,92,0.0
2020-10-02,32.0,27.0,92,0.0
2020-10-03,32.0,24.0,96,15.0
2020-10-03,32.0,24.0,96,15.0
2020-10-04,28.4,25.5,93,15.0
2020-10-05,32.0,25.8,94,5.2
2020-10-05,32.0,25.8,94,5.2
2020-10-06,32.2,27.0,91,0.0
2020-10-06,32.2,27.0,91,0.0
2020-10-07,32.5,27.5,91,0.0
2020-10-07,32.5,27.5,91,0.0
2020-10-08,32.0,27.5,89,0.0
2020-10-08,32.0,27.5,89,0.0
2020-10-09,34.6,27.8,89,1.2
2020-10-09,34.6,27.8,89,1.2
2020-10-10,33.7,26.2,89,1.4
2020-10-10,33.7,26.2,89,1.4
2020-10-11,31.0,27.0,94,1.2
2020-10-11,31.0,27.0,94,1.2
2020-10-12,31.0,27.0,92,0.0
2020-10-12,31.0,27.0,92,0.0
2020-10-13,32.6,26.0,92,1.8
2020-10-13,32.6,26.0,92,1.8
2020-10-14,31.2,24.2,95,115.8
2020-10-15,31.2,25.0,92,35.2
2020-10-16,31.8,26.5,83,0.8
2020-10-17,31.6,26.2,89,0.0
2020-10-18,32.5,26.5,92,0.0
2020-10-19,32.0,27.0,92,0.0
2020-10-20,31.2,24.0,95,33.0
2020-10-21,32.2,26.5,95,1.4
2020-10-22,32.4,25.0,87,1.6
2020-10-23,32.6,27.5,92,0.0
2020-10-24,32.2,26.0,90,0.0
2020-10-25,32.0,24.5,88,10.4
2020-10-26,32.2,25.0,66,0.0
2020-10-27,33.4,25.2,87,0.0
2020-10-28,33.6,24.8,90,0.0
2020-10-29,33.2,25.0,93,0.0
2020-10-30,32.8,24.5,84,0.0
2020-10-31,33.5,23.6,82,0.0
2020-11-01,32.6,25.0,86,0.0
2020-11-02,33.6,25.5,90,0.0
2020-11-03,34.0,25.0,86,0.0
2020-11-04,33.6,25.0,90,0.0
2020-11-05,33.4,24.5,81,0.0
2020-11-06,33.6,24.0,66,0.0
2020-11-07,34.2,25.4,63,0.0
2020-11-08,34.2,24.5,73,0.0
2020-11-09,33.4,22.5,62,0.0
2020-11-10,32.5,22.0,58,0.0
2020-11-11,32.8,22.8,67,0.0
2020-11-12,33.2,23.0,77,0.0
2020-11-13,34.0,24.0,85,0.0
2020-11-14,35.0,25.0,93,0.0
2020-11-15,34.0,24.5,90,0.0
2020-11-16,34.0,24.5,90,0.0
